"genre" "spec" "secteur" "nbpatients" "moins16" "60a69" "plus70" "honor"
"Femme" "Médicale" "1" 355 82.82 0 0.28 13.89
"Homme" "Mixte" "2" 2167 1.02 4.25 2.35 212.66
"Homme" "Médicale" "1" 738 0.54 20.33 26.83 664.57
"Homme" "Médicale" "1" 821 76.49 0.24 0.61 81.95
"Homme" "Médicale" "1" 701 5.71 7.56 6.99 174.19
"Femme" "Médicale" "1" 234 27.78 8.12 9.4 35.5
"Femme" "Mixte" "1" 2409 2.03 7.56 2.86 70.3
"Homme" "Médicale" "1" 558 0.18 17.38 16.49 104.87
"Homme" "Mixte" "1" 2901 13.24 13 21.2 84.84
"Homme" "Médicale" "1" 216 18.52 3.7 2.31 60.16
"Homme" "Médicale" "1" 976 0.2 6.66 4.3 262.06
"Femme" "Chirurgicale" "2" 1028 4.38 9.34 7.88 202.34
"Homme" "Médicale" "1" 2187 18.52 6.4 4.44 100.5
"Homme" "Médicale" "1" 2050 2.05 11.37 42.98 133.13
"Homme" "Chirurgicale" "2" 611 10.15 7.69 12.6 120.64
"Femme" "Médicale" "1" 1163 1.38 15.22 56.06 116.42
"Femme" "Médicale" "1" 136 9.56 0 7.35 33.24
"Homme" "Médicale" "2" 2628 12.18 13.74 24.81 224.3
"Femme" "Médicale" "1" 1660 15.6 5.96 6.08 58.51
"Homme" "Médicale" "1" 6763 4.08 18.53 25.24 974.98
"Homme" "Médicale" "1" 1510 11.59 18.01 32.25 166.63
"Homme" "Médicale" "1" 865 14.34 16.07 30.17 139.48
"Homme" "Médicale" "1" 68 2.94 7.35 19.12 0.54
"Homme" "Médicale" "1" 2317 13.68 15.32 16.14 255.05
"Femme" "Médicale" "1" 2342 63.41 0.09 0.98 98.71
"Femme" "Médicale" "1" 1799 24.68 6.45 4.39 65.78
"Femme" "Médicale" "1" 951 74.97 0.21 1.16 68.34
"Homme" "Médicale" "1" 122 13.93 2.46 0 39.48
"Homme" "Mixte" "1" 3235 20.87 13.51 16.85 158.53
"Femme" "Mixte" "1" 935 24.92 11.87 14.01 68.24
"Femme" "Mixte" "1" 1609 2.11 7.02 3.42 77.47
"Homme" "Médicale" "1" 5504 17.41 13.05 14.26 426.19
"Femme" "Médicale" "1" 3021 10.1 16.85 14.3 210.15
